competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,competênciaexc,indicadordeexclusão,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,,
202306,3,35,350570,M,7112000,-1,251110,101,9,26,44,6,1,0,1,43,0,0,0,1320,4,0,1,202306,NA,NA,0,2,44,,
202306,3,35,355030,N,8211300,1,251110,101,9,26,44,6,3,0,1,97,0,0,0,2700,1,0,1,202306,NA,NA,0,5,2700,,
202306,5,52,520870,M,7220700,1,251110,101,9,25,44,6,3,0,1,97,0,0,0,3000,4,0,1,202306,NA,NA,0,5,3000,,
202306,5,53,530010,N,8211300,-1,251110,101,7,22,44,6,1,0,1,40,0,0,0,1500,4,0,1,202306,NA,NA,0,5,1500,,
202306,5,52,520870,M,7220700,1,251110,101,9,35,44,6,1,0,1,97,0,0,0,4000,4,0,1,202306,NA,NA,0,5,4000,,
202306,2,26,261160,M,7490199,1,251110,101,7,39,44,6,1,0,1,97,0,0,0,5000,6,0,1,202306,NA,NA,0,5,5000,,
202306,5,53,530010,N,8211300,-1,251110,101,7,24,44,6,1,0,1,40,0,0,0,1500,4,0,1,202306,NA,NA,0,5,1500,,
202306,5,52,520870,P,8531700,-1,251110,101,9,62,40,1,3,0,1,90,0,0,0,7310,68,10,0,1,202306,NA,NA,0,5,7310,68
202306,1,16,160030,F,4213800,-1,251110,101,9,53,44,3,1,0,1,31,0,0,0,7043,7,4,0,1,202306,NA,NA,0,5,7043,7
202306,4,43,431560,M,7220700,-1,251110,101,9,30,40,6,3,0,1,31,0,0,0,1900,2,0,1,202306,NA,NA,0,5,1900,,
202306,3,35,355030,M,7112000,1,251110,101,9,25,44,6,1,0,1,97,0,0,0,3000,10,0,1,202306,NA,NA,0,5,3000,,
202306,5,52,520870,M,7220700,1,251110,101,9,30,44,6,1,0,1,97,0,0,0,4000,4,0,1,202306,NA,NA,0,5,4000,,
202306,3,35,355030,N,8211300,1,251110,101,9,27,44,6,3,0,1,97,0,0,0,2700,1,0,1,202306,NA,NA,0,5,2700,,
202306,2,26,261160,M,7490199,1,251110,101,10,29,44,6,1,0,1,97,0,0,0,5000,6,0,1,202306,NA,NA,0,5,5000,,
202306,3,35,351518,M,7220700,1,251110,101,7,27,44,6,1,0,1,97,0,0,0,3000,2,0,1,202306,NA,NA,0,5,3000,,
202306,3,35,355030,M,7220700,-1,251110,105,7,35,44,6,3,0,1,43,0,0,0,4000,5,0,1,202306,NA,NA,0,5,4000,,
202306,3,35,355030,M,7220700,1,251110,101,10,34,44,1,3,0,1,97,0,0,0,5206,47,5,0,1,202306,NA,NA,0,5,5206,47
202306,2,26,261160,M,7112000,-1,251110,101,9,26,44,3,3,0,1,43,0,0,0,2888,31,4,0,1,202306,NA,NA,0,5,2888,31
202306,3,35,355030,N,8211300,1,251110,101,9,29,44,6,1,0,1,97,0,0,0,2700,1,0,1,202306,NA,NA,0,5,2700,,
202306,4,42,421870,M,7220700,1,251110,101,80,36,44,1,1,0,1,97,0,0,0,3519,5,5,0,1,202306,NA,NA,0,5,3519,5
202306,5,53,530010,N,8211300,1,251110,101,7,24,44,6,1,0,1,97,0,0,0,1500,4,0,1,202306,NA,NA,0,5,1500,,
202306,5,52,520870,M,7220700,1,251110,101,9,44,44,6,1,0,1,97,0,0,0,4000,4,0,1,202306,NA,NA,0,5,4000,,
202306,2,26,261160,M,7490199,1,251110,101,7,26,44,6,1,0,1,97,0,0,0,1589,6,0,1,202306,NA,NA,0,5,1589,,
202306,3,31,310620,N,8211300,-1,251110,101,9,26,44,1,1,0,1,31,0,0,0,4000,2,0,1,202306,NA,NA,0,5,4000,,
202306,4,43,431560,M,7220700,-1,251110,101,9,26,40,6,3,0,1,40,0,0,0,1900,2,0,1,202306,NA,NA,0,5,1900,,
202307,2,26,261160,M,7020400,-1,251110,101,9,39,44,6,3,0,1,40,0,0,0,2888,31,4,0,1,202307,NA,NA,0,5,2888,31
202307,3,31,310620,M,7220700,1,251110,101,9,28,44,3,3,0,1,97,0,0,0,3800,1,0,1,202307,NA,NA,0,5,3800,,
202307,5,52,520870,M,7220700,1,251110,101,9,25,44,6,1,0,1,97,0,0,0,4000,4,0,1,202307,NA,NA,0,5,4000,,
202307,5,53,530010,N,8211300,1,251110,101,7,22,44,6,1,0,1,97,0,0,0,1800,4,0,1,202307,NA,NA,0,5,1800,,
202307,3,35,355030,G,4751201,1,251110,101,7,40,44,6,3,0,1,97,0,0,0,3100,4,0,1,202307,NA,NA,0,5,3100,,
202307,3,35,355030,F,4399101,1,251110,101,9,26,44,6,1,0,1,97,0,0,0,4500,4,0,1,202307,NA,NA,0,5,4500,,
