"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro..SM.";"Vl.Remun.Média.Nom";"Vl.Remun.Média..SM.";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.SC";"Vl.Rem.Fevereiro.SC";"Vl.Rem.Março.SC";"Vl.Rem.Abril.SC";"Vl.Rem.Maio.SC";"Vl.Rem.Junho.SC";"Vl.Rem.Julho.SC";"Vl.Rem.Agosto.SC";"Vl.Rem.Setembro.SC";"Vl.Rem.Outubro.SC";"Vl.Rem.Novembro.SC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial"
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;6;5;5;4;3;7;40;44;0;0;6;"{ñ";530010;530010;"10";2062;0;0;9;9997;3022,5;2,49;2749,04;2,26;7112000;1;5;6,3;2;1;"CNPJ";0;10;19;0;0;0;0;0;1108,25;3022,5;3022,5;3022,5;3022,5;3022,5;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;5;6;8;7;7;9;44;30;0;0;1;"{ñ";220220;530010;"10";2062;0;0;8;9997;7000;5,77;6769,67;5,58;7112000;1;5;71,9;0;1;"CNPJ";0;10;19;6322,99;6322,99;6322,99;6322,99;6322,99;7728,1;6322,99;7000;7570;7000;7000;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;5;6;5;4;7;9;44;33;0;0;3;"{ñ";530010;530010;"10";2062;0;0;2;9997;3150,81;2,59;2874,86;2,37;7112000;1;2;105,7;0;1;"CNPJ";0;10;19;2803,06;2807,65;2807,65;2807,65;2807,65;2807,65;2807,65;2807,65;2807,65;2807,65;3275,59;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;3;6;7;5;2;9;44;24;0;0;9;"{ñ";520870;530010;"10";2062;0;0;8;9997;5098,89;4,2;3727,8;3,07;7112000;1;6;3,2;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;1031;3682,41;5098,89;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;3;6;5;4;2;9;44;24;0;0;9;"{ñ";520870;530010;"10";2062;0;0;2;9997;3526,24;2,9;2794,55;2,3;7112000;1;6;3,1;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;443,29;3682,41;3526,24;1198;0;0
9997;9997;9997;99;99;99;0;251110;82113;74993;9997;1;6;6;99;98;7;9;44;44;0;0;2;"{ñ";530010;530010;"10";2062;0;0;9;9997;0;0;0;0;8211300;2;4;71;0;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;0;251110;82113;74993;9997;1;6;6;5;4;7;9;44;41;0;0;9;"{ñ";530010;530010;"10";2062;0;0;9;9997;3591,11;2,96;3291,85;2,71;8211300;2;4;111,6;0;1;"CNPJ";0;10;19;3377,77;3200;3200;3200;3200;3200;3200;3448,89;3484,44;3200;3200;1198;0;0
9997;9997;9997;99;99;99;0;251110;84116;75116;9997;1;7;5;11;10;8;9;40;55;0;0;1;"{ñ";530010;530010;"10";1015;0;0;99;1;22402,86;18,48;22593,33;18,64;8411600;2;10;215,3;0;1;"CNPJ";0;30;24;19675,56;22402,86;22402,86;22402,86;28961,38;22402,86;22039,22;21675,58;22402,86;22402,86;21948,31;0;0;0
9997;9997;9997;40;99;99;0;251110;71120;74209;9997;1;4;6;8;7;3;9;44;28;0;0;2;"{ñ";520870;530010;"10";2062;0;3;2;9997;6242,06;5,15;6242,06;5,15;7112000;2;6;11;2;1;"CNPJ";0;10;19;0;6242,06;6242,06;6242,06;6242,06;6242,06;6242,06;6242,06;6242,06;6242,06;6242,06;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;5;6;9;8;7;9;44;30;0;0;1;"{ñ";530010;530010;"10";2062;0;0;8;9997;10313,06;8,5;10665,85;8,8;7112000;2;6;95,4;0;1;"CNPJ";0;10;19;12254,74;10313,06;10313,06;10313,06;10313,06;10313,06;10313,06;10427,65;12490,25;10313,06;10313,06;1198;0;0
