Bairros SP - Código;Bairros Fortaleza - Código;Bairros RJ - Código;Causa Afastamento 1 - Código;Causa Afastamento 2 - Código;Causa Afastamento 3 - Código;Motivo Desligamento - Código;CBO 2002 Ocupação - Código;CNAE 2.0 Classe - Código;CNAE 95 Classe - Código;Distritos SP - Código;Ind Vínculo Ativo 31/12 - Código;Faixa Etária - Código;Faixa Rem Média (SM) - Código;Faixa Hora Contrat - Código;Faixa Rem Dez (SM) - Código;Faixa Tempo Emprego - Código;Escolaridade Após 2005 - Código;Qtd Hora Contr;Idade;Ind CEI Vinculado - Código;Ind Estabelecimento Participante SIMPLES - Código;Mês Admissão - Código;Mês Desligamento - Código;Município Trab - Código;Município - Código;Nacionalidade - Código;Natureza Jurídica - Código;Ind Portador Defic - Código;Qtd Dias Afastamento;Raça Cor - Código;Região Adm DF - Código;Vl Rem Dezembro Nom;Vl Rem Dezembro (SM);Vl Rem Média Nom;Vl Rem Média (SM);CNAE 2.0 Subclasse - Código;Sexo - Código;Tamanho Estabelecimento - Código;Tempo Emprego;Tipo Admissão Trabalhador - Código;Tipo Estabelecimento - Código;Tipo Estabelecimento - Nome;Tipo Deficiência - Código;Tipo Vínculo - Código;IBGE Subsetor - Código;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trabalho Intermitente - Código;Ind Trabalho Parcial - Código;Ind Vínculo Abandonado - Código
999997;999997;999997;999;999;999;0;251110;4399;4550;999997;1;6;5;6;5;1;9;44;48;0;1;11;0;999999;355070;10;2062;0;0;8;999997;2824.13;2.00;3114.60;2.21;4399103;1;5;1.9;4;1;CNPJ;0;10;15;0;0;0;0;0;0;0;0;0;0;3405.07;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;4;5;6;5;3;9;44;25;0;0;1;0;999999;355030;10;2054;0;0;2;999997;3927.78;2.78;3546.34;2.51;7112000;2;10;11.9;2;1;CNPJ;0;10;19;3383.33;3500.00;3500.00;3500.00;3535.00;3535.00;3535.00;3535.00;3535.00;3535.00;3535.00;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;3;5;6;5;3;9;44;24;0;0;4;0;999999;350570;10;2062;0;0;2;999997;3035.33;2.14;2979.13;2.10;7112000;2;6;8.3;2;1;CNPJ;0;10;19;0;0;0;1134.68;3140.00;3140.00;3242.11;3402.19;3140.00;3140.00;3437.86;1198;0;0;0
999997;999997;999997;999;999;999;21;251110;4211;4522;999997;0;4;99;6;99;1;9;44;26;0;0;8;8;999999;350600;10;2054;0;0;2;999997;;.00;.00;.00;4211101;1;10;.1;2;1;CNPJ;0;60;15;0;0;0;0;0;0;0;246.00;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;5;1;99;99;3;9;99;35;0;0;1;0;999999;350570;10;2062;0;0;8;999997;;.00;641.88;.45;7112000;2;6;11.7;2;1;CNPJ;0;10;19;0;0;641.88;0;0;0;0;0;0;0;0;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;7;99;99;99;4;9;99;56;0;0;0;0;999999;355030;10;2062;0;0;2;999997;;.00;.00;.00;7220700;1;5;16.9;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;5;99;6;99;7;9;44;30;0;0;0;0;999999;351518;10;2062;0;0;2;999997;;.00;.00;.00;7220700;1;3;76.3;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;4399;4550;999997;1;7;99;6;99;1;9;44;50;0;1;10;0;999999;355070;10;2062;0;0;8;999997;;.00;.00;.00;4399103;1;5;2.9;4;1;CNPJ;0;10;15;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;2622;3022;999997;1;6;4;6;4;7;9;44;43;0;0;0;0;999999;355030;10;2046;0;0;8;999997;2196.52;1.55;2135.17;1.51;2622100;2;10;118.6;0;1;CNPJ;0;10;4;1850.25;1850.25;1840.16;1850.25;2196.52;2196.52;2928.69;2196.52;2123.30;2196.52;2196.52;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;2622;3022;999997;1;5;4;6;4;7;9;44;31;0;0;0;0;999999;355030;10;2046;0;0;2;999997;2196.52;1.55;2153.14;1.52;2622100;2;10;61.4;0;1;CNPJ;0;10;4;2513.06;2051.98;1850.25;1850.25;2196.52;2196.52;2196.52;2196.52;2196.52;2196.52;2196.52;1198;0;0;0
