competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202406;3;33;330320;G;4782201;1;251110;101;7;33;44;3;3;0;1;97;0;0;0;0;1;0;1;202406;NA;NA;0;7;0
202406;2;26;261160;M;7490199;1;251110;101;9;45;44;3;3;0;1;97;0;0;0;6300;6;0;1;202406;NA;NA;0;5;6300
202406;5;52;520870;M;7220700;1;251110;101;9;31;44;1;1;0;1;97;0;0;0;4771;6;0;1;202406;NA;NA;0;5;4771
202406;5;52;520870;M;7220700;1;251110;101;9;31;44;3;3;0;1;97;0;0;0;4771;6;0;1;202406;NA;NA;0;5;4771
202406;3;35;355030;N;8211300;-1;251110;101;9;24;44;3;3;0;1;40;0;0;0;2700;4;0;1;202406;NA;NA;0;5;2700
202406;5;53;530010;N;8211300;-1;251110;101;4;43;44;3;1;0;1;31;0;0;0;1700;4;0;1;202406;NA;NA;0;5;1700
202406;5;53;530010;M;7112000;1;251110;101;9;27;44;1;1;0;1;97;0;0;0;4000;5;0;1;202406;NA;NA;0;5;4000
202406;5;52;520870;M;7220700;1;251110;101;9;28;44;1;3;0;1;97;0;0;0;4771;6;0;1;202406;NA;NA;0;5;4771
202406;3;35;354850;M;7220700;1;251110;101;9;26;44;3;1;0;1;97;0;0;0;4500;1;0;1;202406;NA;NA;0;5;4500
202406;2;29;293010;F;4120400;-1;251110;101;10;39;20;3;3;0;1;31;0;0;0;3744;2;0;1;202406;NA;NA;0;1;37,44
202406;1;15;150140;G;4772500;1;251110;101;7;26;44;3;3;0;1;97;0;0;9;1412;1;0;1;202406;NA;NA;0;5;1412
